Capacity assignment: 520000/860114 nodes (60.5%), 74 active communities
Capacity assignment: 525000/860114 nodes (61.0%), 74 active communities
Capacity assignment: 530000/860114 nodes (61.6%), 74 active communities
Capacity assignment: 535000/860114 nodes (62.2%), 74 active communities
Capacity assignment: 540000/860114 nodes (62.8%), 74 active communities
Capacity assignment: 545000/860114 nodes (63.4%), 74 active communities
Capacity assignment: 550000/860114 nodes (63.9%), 74 active communities
Capacity assignment: 555000/860114 nodes (64.5%), 74 active communities
Capacity assignment: 560000/860114 nodes (65.1%), 74 active communities
Capacity assignment: 565000/860114 nodes (65.7%), 74 active communities
Capacity assignment: 570000/860114 nodes (66.3%), 74 active communities
Capacity assignment: 575000/860114 nodes (66.9%), 74 active communities
Capacity assignment: 580000/860114 nodes (67.4%), 74 active communities
Capacity assignment: 585000/860114 nodes (68.0%), 74 active communities
Capacity assignment: 590000/860114 nodes (68.6%), 74 active communities
Capacity assignment: 595000/860114 nodes (69.2%), 74 active communities
Capacity assignment: 600000/860114 nodes (69.8%), 74 active communities
Capacity assignment: 605000/860114 nodes (70.3%), 74 active communities
Capacity assignment: 610000/860114 nodes (70.9%), 74 active communities
Capacity assignment: 615000/860114 nodes (71.5%), 74 active communities
Capacity assignment: 620000/860114 nodes (72.1%), 74 active communities
Capacity assignment: 625000/860114 nodes (72.7%), 74 active communities
Capacity assignment: 630000/860114 nodes (73.2%), 74 active communities
Capacity assignment: 635000/860114 nodes (73.8%), 74 active communities
Capacity assignment: 640000/860114 nodes (74.4%), 74 active communities
Capacity assignment: 645000/860114 nodes (75.0%), 74 active communities
Capacity assignment: 650000/860114 nodes (75.6%), 74 active communities
Capacity assignment: 655000/860114 nodes (76.2%), 74 active communities
Capacity assignment: 660000/860114 nodes (76.7%), 74 active communities
Capacity assignment: 665000/860114 nodes (77.3%), 74 active communities
Capacity assignment: 670000/860114 nodes (77.9%), 74 active communities
Capacity assignment: 675000/860114 nodes (78.5%), 74 active communities
Capacity assignment: 680000/860114 nodes (79.1%), 74 active communities
Capacity assignment: 685000/860114 nodes (79.6%), 74 active communities
Capacity assignment: 690000/860114 nodes (80.2%), 74 active communities
Capacity assignment: 695000/860114 nodes (80.8%), 74 active communities
Capacity assignment: 700000/860114 nodes (81.4%), 74 active communities
Capacity assignment: 705000/860114 nodes (82.0%), 74 active communities
Capacity assignment: 710000/860114 nodes (82.5%), 74 active communities
Capacity assignment: 715000/860114 nodes (83.1%), 74 active communities
Capacity assignment: 720000/860114 nodes (83.7%), 74 active communities
Capacity assignment: 725000/860114 nodes (84.3%), 74 active communities
Capacity assignment: 730000/860114 nodes (84.9%), 74 active communities
Capacity assignment: 735000/860114 nodes (85.5%), 74 active communities
Capacity assignment: 740000/860114 nodes (86.0%), 74 active communities
Capacity assignment: 745000/860114 nodes (86.6%), 74 active communities
Capacity assignment: 750000/860114 nodes (87.2%), 74 active communities
Capacity assignment: 755000/860114 nodes (87.8%), 74 active communities
Capacity assignment: 760000/860114 nodes (88.4%), 74 active communities
Capacity assignment: 765000/860114 nodes (88.9%), 74 active communities
Capacity assignment: 770000/860114 nodes (89.5%), 74 active communities
Capacity assignment: 775000/860114 nodes (90.1%), 74 active communities
Capacity assignment: 780000/860114 nodes (90.7%), 74 active communities
Capacity assignment: 785000/860114 nodes (91.3%), 74 active communities
Capacity assignment: 790000/860114 nodes (91.8%), 74 active communities
Capacity assignment: 795000/860114 nodes (92.4%), 74 active communities
Capacity assignment: 800000/860114 nodes (93.0%), 74 active communities
Capacity assignment: 805000/860114 nodes (93.6%), 74 active communities
Capacity assignment: 810000/860114 nodes (94.2%), 74 active communities
Capacity assignment: 815000/860114 nodes (94.8%), 74 active communities
Capacity assignment: 820000/860114 nodes (95.3%), 74 active communities
Capacity assignment: 825000/860114 nodes (95.9%), 74 active communities
Capacity assignment: 830000/860114 nodes (96.5%), 74 active communities
Capacity assignment: 835000/860114 nodes (97.1%), 74 active communities
Capacity assignment: 840000/860114 nodes (97.7%), 74 active communities
Capacity assignment: 845000/860114 nodes (98.2%), 74 active communities
Capacity assignment: 850000/860114 nodes (98.8%), 74 active communities
Capacity assignment: 855000/860114 nodes (99.4%), 74 active communities
Capacity assignment: 860000/860114 nodes (100.0%), 74 active communities
Capacity-based assignment complete: 860114 nodes -> 74 active communities
Processing pair 1 of 6294811
Processing pair 5000 of 6294811
Processing pair 10000 of 6294811
Processing pair 15000 of 6294811
Processing pair 20000 of 6294811
Processing pair 25000 of 6294811
Processing pair 30000 of 6294811
Processing pair 35000 of 6294811
Processing pair 40000 of 6294811
Processing pair 45000 of 6294811
Processing pair 50000 of 6294811
Processing pair 55000 of 6294811
Processing pair 60000 of 6294811
Processing pair 65000 of 6294811
Processing pair 70000 of 6294811
Processing pair 75000 of 6294811
Processing pair 80000 of 6294811
Processing pair 85000 of 6294811
Processing pair 90000 of 6294811
Processing pair 95000 of 6294811
Processing pair 100000 of 6294811
Processing pair 105000 of 6294811
Processing pair 110000 of 6294811
Processing pair 115000 of 6294811
Processing pair 120000 of 6294811
Processing pair 125000 of 6294811
Processing pair 130000 of 6294811
Processing pair 135000 of 6294811
Processing pair 140000 of 6294811
Processing pair 145000 of 6294811
Processing pair 150000 of 6294811
Processing pair 155000 of 6294811
